PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,AGE,GP,W,L,OFF_RATING,DEF_RATING,SALARY_MILLIONS,PTS
201566,Russell Westbrook,OKC,28,81,46,35,107.9,,26.54,31.6
1626246,Boban Marjanovic,DET,28,35,,19,104.3,102.4,,5.5
1627743,Demetrius Jackson,BOS,22,5,1,4,124.2,117.8,1.45,2
203076,Anthony Davis,NOP,24,75,31,44,104.2,102.5,22.12,28
201935,James Harden,HOU,27,81,54,27,113.6,107.3,26.5,29.1
201142,Kevin Durant,GSW,28,62,51,11,117.2,101.3,,25.1
2544,LeBron James,CLE,32,74,,23,114.9,107.1,30.96,26.4
101108,Chris Paul,LAC,32,61,43,18,116.2,101.3,22.87,18.1
202326,DeMarcus Cousins,NOP,26,72,,42,106.7,109,,24.4
203507,Giannis Antetokounmpo,MIL,22,80,42,38,107.4,,2.99,22.9
202695,Kawhi Leonard,SAS,26,74,54,20,112.6,104,17.6,25.5
203954,Joel Embiid,PHI,23,31,,18,102.4,99.1,,20.2
1626157,Karl-Anthony Towns,MIN,21,82,31,51,109.9,110.8,5.7,25.1
203999,Nikola Jokic,DEN,22,73,37,36,114.9,109.8,1.3,16.7
202710,Jimmy Butler,CHI,27,76,40,36,106.4,103.4,,23.9
202355,Hassan Whiteside,MIA,28,77,,38,106.6,,22.12,17
203497,Rudy Gobert,UTA,25,81,51,30,108.7,100.6,2.1,14
202738,Isaiah Thomas,BOS,28,76,51,25,113.6,108.6,6.58,28.9
201144,Mike Conley,MEM,29,69,,34,108.6,105.5,26.54,20.5
203081,Damian Lillard,POR,26,75,38,37,110.1,108.9,24.33,27
202330,Gordon Hayward,UTA,27,73,46,27,109.5,102.4,,21.9
201942,DeMar DeRozan,TOR,27,74,,27,110.2,107,26.54,27.3
1627762,Joel Bolomboy,UTA,23,12,8,4,106.3,95,0.6,1.8
202683,Enes Kanter,OKC,25,72,43,29,107.8,,17.15,14.3
202322,John Wall,WAS,26,78,48,30,111.2,107.3,,23.1
201933,Blake Griffin,LAC,28,61,,21,115.2,104.6,20,21.6
2216,Zach Randolph,MEM,35,73,38,35,104.1,105.2,10.36,14.1
2730,Dwight Howard,ATL,31,74,37,37,101.1,103.1,,13.5
201939,Stephen Curry,GSW,29,79,65,14,118.1,100.9,12.11,25.3
201188,Marc Gasol,MEM,32,74,40,34,106.5,,19.69,19.5
201599,DeAndre Jordan,LAC,28,81,,30,113.4,103.7,21.17,12.7
201567,Kevin Love,CLE,28,60,40,20,113.2,106,,19
200768,Kyle Lowry,TOR,31,60,36,24,112.8,104.6,12,22.4
2200,Pau Gasol,SAS,36,64,47,17,110.7,104,7.45,12.4
202696,Nikola Vucevic,ORL,26,75,27,48,102.5,,12,14.6
202339,Eric Bledsoe,PHX,27,66,,44,106.1,110.2,14,21.1
202328,Greg Monroe,MIL,27,81,42,39,110.1,106.4,,11.7
204002,Edy Tavares,CLE,25,2,1,1,108.2,93,1,6
203962,Josh Huestis,OKC,25,2,0,2,111.3,104.9,1.14,7
202689,Kemba Walker,CHA,27,79,36,43,109,105.4,,23.2
203083,Andre Drummond,DET,23,81,,45,102.6,,22.11,13.6
202685,Jonas Valanciunas,TOR,25,80,50,30,109.6,107.2,4.66,12
202331,Paul George,IND,27,75,39,36,108.9,106,18.31,23.7
202681,Kyrie Irving,CLE,25,72,47,25,114.2,109.1,,25.2
200826,J.J. Barea,DAL,33,35,11,24,104.6,102.8,4.1,10.9
101150,Lou Williams,HOU,30,81,34,47,108.7,,7,14.9
2744,Al Jefferson,IND,32,66,33,33,102.3,108.1,9.56,8.1
1626195,Willy Hernangomez,NYK,23,72,27,45,104.8,107.6,,8.2
203124,Kyle O'Quinn,NYK,27,79,,50,102.1,108.9,3.92,6.3
202391,Jeremy Lin,BKN,28,36,13,23,103.5,106.4,11.48,14.5
201952,Jeff Teague,IND,29,82,42,40,108.1,106.8,8,15.3
2199,Tyson Chandler,PHX,34,47,15,32,106.6,,13,8.4
203991,Clint Capela,HOU,23,65,44,21,113.7,105.9,1.3,12.6
201609,Goran Dragic,MIA,31,73,40,33,106.7,106,15.89,20.3
2757,Beno Udrih,DET,34,39,,21,103.3,97.9,1.55,5.8
1627848,Shawn Long,PHI,24,18,5,13,110.5,108,0.54,8.2
201588,George Hill,UTA,31,49,33,16,109.7,,8,16.9
1626210,Alan Williams,PHX,24,47,11,36,105.6,105.8,0.96,7.4
202344,Trevor Booker,BKN,29,71,,53,99.4,107.3,9.05,10
203462,Archie Goodwin,BKN,22,15,8,7,103.3,108.7,0.94,7.9
203457,Nerlens Noel,DAL,23,51,24,27,103,105.5,4.38,8.5
200794,Paul Millsap,ATL,32,69,40,29,105,103,18.67,18.1
101135,David Lee,SAS,34,79,58,21,110.2,,2.102,7.3
201143,Al Horford,BOS,31,68,46,22,110.7,105.8,,14
201580,JaVale McGee,GSW,29,77,,15,121.4,102.7,1.4,6.1
203468,CJ McCollum,POR,25,80,40,40,109,107.9,3.22,23
200752,Rudy Gay,SAC,30,30,11,19,106.5,104.8,13.33,18.7
1717,Dirk Nowitzki,DAL,39,54,23,31,104.8,106.5,25,14.2
201572,Brook Lopez,BKN,29,75,,55,103.4,,21.16,20.5
203087,Jeremy Lamb,CHA,25,62,27,35,107.6,108.7,3.03,9.7
202702,Kenneth Faried,DEN,27,61,29,32,109,112.1,12.08,9.6
203473,Dewayne Dedmon,SAS,27,76,55,21,105.9,97.5,2.89,5.1
2561,David West,GSW,36,68,56,12,107.7,98.6,1.55,4.6
101138,Brandon Bass,LAC,32,52,29,23,103.7,116.7,,5.6
200746,LaMarcus Aldridge,SAS,31,72,,20,109.1,,20.57,17.3
203953,Jabari Parker,MIL,22,51,22,29,106.8,109.3,5.37,20.1
2548,Dwyane Wade,CHI,35,60,29,31,103.1,105.5,23.23,18.3
201950,Jrue Holiday,NOP,27,67,32,35,103.7,102.8,11.28,15.4
203950,Jarnell Stokes,DEN,23,2,0,2,115.3,118.3,0.98,1.5
201949,James Johnson,MIA,30,76,,36,104.9,,4,12.8
2555,Nick Collison,OKC,36,20,10,10,86.8,104.1,2.24,1.6
203078,Bradley Beal,WAS,24,77,48,29,112.1,106.5,22.12,23.12
2546,Carmelo Anthony,NYK,33,74,29,45,106.1,111.1,,22.4
201587,Nicolas Batum,CHA,28,77,,42,107.4,106.2,20.87,15.1
201936,Tyreke Evans,SAC,27,40,17,23,97.5,106.2,10.2,11.6
203471,Dennis Schroder,ATL,23,79,42,37,103.4,105.4,2.7,17.9
203110,Draymond Green,GSW,27,76,62,14,115.2,,15.33,10.2
203994,Jusuf Nurkic,POR,22,65,34,31,104.4,106.5,1.92,15.2
203901,Elfrid Payton,ORL,23,82,,53,104.7,107.5,12.8,12.8
1626158,Richaun Holmes,PHI,23,57,16,41,102.4,110,1.07,9.8
201563,Michael Beasley,MIL,28,56,23,33,106.9,108.5,0.31,9.4
201148,Brandan Wright,MEM,29,28,14,14,106.1,102.3,,6.8
201937,Ricky Rubio,MIN,26,75,,47,108.9,109.9,13.4,11.1
201578,Marreese Speights,LAC,29,82,51,31,106,,1.04,8.7
201568,Danilo Gallinari,DEN,28,63,31,32,112.1,,15.05,18.2
203080,Thomas Robinson,LAL,26,48,15,33,103.6,,1.05,5
202699,Tobias Harris,DET,24,82,,45,104.3,105.5,16,16
203944,Julius Randle,LAL,22,74,24,50,103.1,113.3,,13.2
1627767,Cheick Diallo,NOP,20,17,9,8,101.5,110.9,,5.1
203084,Harrison Barnes,DAL,25,79,,47,103.6,105.7,3.87,19.2